Voxel_Number,X,Y,Z
981,9,28,27
982,9,28,28
983,9,28,29
984,9,28,30
985,9,28,31
986,9,28,32
987,9,28,33
988,9,28,34
989,9,28,35
990,9,28,36
991,9,28,37
992,9,28,38
993,9,28,39
994,9,28,40
995,9,28,41
996,9,29,15
997,9,29,16
998,9,29,17
999,9,29,18
1000,9,29,19
1001,9,29,20
1002,9,29,21
1003,9,29,22
1004,9,29,23
1005,9,29,24
1006,9,29,25
1007,9,29,26
1008,9,29,27
1009,9,29,28
1010,9,29,29
1011,9,29,30
1012,9,29,31
1013,9,29,32
1014,9,29,33
1015,9,29,34
1016,9,29,35
1017,9,29,36
1018,9,29,37
1019,9,29,38
1020,9,29,39
1021,9,29,40
1022,9,29,41
1023,9,30,15
1024,9,30,16
1025,9,30,17
1026,9,30,18
1027,9,30,19
1028,9,30,20
1029,9,30,21
1030,9,30,22
1031,9,30,23
1032,9,30,24
1033,9,30,25
1034,9,30,26
1035,9,30,27
1036,9,30,28
1037,9,30,29
1038,9,30,30
1039,9,30,31
1040,9,30,32
1041,9,30,33
1042,9,30,34
1043,9,30,35
1044,9,30,36
1045,9,30,37
1046,9,30,38
1047,9,30,39
1048,9,30,40
1049,9,30,41
1050,9,31,14
1051,9,31,15
1052,9,31,16
1053,9,31,17
1054,9,31,18
1055,9,31,19
1056,9,31,20
1057,9,31,21
1058,9,31,22
1059,9,31,23
1060,9,31,24
1061,9,31,25
1062,9,31,26
1063,9,31,27
1064,9,31,28
1065,9,31,29
1066,9,31,30
1067,9,31,31
1068,9,31,32
1069,9,31,33
1070,9,31,34
1071,9,31,35
1072,9,31,36
1073,9,31,37
1074,9,31,38
1075,9,31,39
1076,9,31,40
1077,9,31,41
1078,9,32,13
1079,9,32,14
1080,9,32,15
1081,9,32,16
1082,9,32,17
1083,9,32,18
1084,9,32,19
1085,9,32,20
1086,9,32,21
1087,9,32,22
1088,9,32,23
1089,9,32,24
1090,9,32,25
1091,9,32,26
1092,9,32,27
1093,9,32,28
1094,9,32,29
1095,9,32,30
1096,9,32,31
1097,9,32,32
1098,9,32,33
1099,9,32,34
1100,9,32,35
1101,9,32,36
1102,9,32,37
1103,9,32,38
1104,9,32,39
1105,9,32,40
1106,9,32,41
1107,9,33,13
1108,9,33,14
1109,9,33,15
1110,9,33,16
1111,9,33,17
1112,9,33,18
1113,9,33,19
1114,9,33,20
1115,9,33,21
1116,9,33,22
1117,9,33,23
1118,9,33,24
1119,9,33,25
1120,9,33,26
1121,9,33,27
1122,9,33,28
1123,9,33,29
1124,9,33,30
1125,9,33,31
1126,9,33,32
1127,9,33,33
1128,9,33,34
1129,9,33,35
1130,9,33,36
1131,9,33,37
1132,9,33,38
1133,9,33,39
1134,9,33,40
1135,9,33,41
1136,9,34,12
1137,9,34,13
1138,9,34,14
1139,9,34,15
1140,9,34,16
1141,9,34,17
1142,9,34,18
1143,9,34,19
1144,9,34,20
1145,9,34,21
1146,9,34,22
1147,9,34,23
1148,9,34,24
1149,9,34,25
1150,9,34,26
1151,9,34,27
1152,9,34,28
1153,9,34,29
1154,9,34,30
1155,9,34,31
1156,9,34,32
1157,9,34,33
1158,9,34,34
1159,9,34,35
1160,9,34,36
1161,9,34,37
1162,9,34,38
1163,9,34,39
1164,9,34,40
1165,9,34,41
1166,9,35,12
1167,9,35,13
1168,9,35,14
1169,9,35,15
1170,9,35,16
1171,9,35,17
1172,9,35,18
1173,9,35,19
1174,9,35,20
1175,9,35,21
1176,9,35,22
1177,9,35,23
1178,9,35,24
1179,9,35,25
1180,9,35,26
1181,9,35,27
1182,9,35,28
1183,9,35,29
1184,9,35,30
1185,9,35,31
1186,9,35,32
1187,9,35,33
1188,9,35,34
1189,9,35,35
1190,9,35,36
1191,9,35,37
1192,9,35,38
1193,9,35,39
1194,9,35,40
1195,9,36,11
1196,9,36,12
1197,9,36,13
1198,9,36,14
1199,9,36,15
1200,9,36,16
1201,9,36,17
1202,9,36,18
1203,9,36,19
1204,9,36,20
1205,9,36,21
1206,9,36,22
1207,9,36,23
1208,9,36,24
1209,9,36,25
1210,9,36,26
1211,9,36,27
1212,9,36,28
1213,9,36,29
1214,9,36,30
1215,9,36,31
1216,9,36,32
1217,9,36,33
1218,9,36,34
1219,9,36,35
1220,9,36,36
1221,9,36,37
1222,9,36,38
1223,9,36,39
1224,9,36,40
1225,9,37,11
1226,9,37,12
1227,9,37,13
1228,9,37,14
1229,9,37,15
1230,9,37,16
1231,9,37,17
1232,9,37,18
1233,9,37,19
1234,9,37,20
1235,9,37,21
1236,9,37,22
1237,9,37,23
1238,9,37,24
1239,9,37,25
1240,9,37,26
1241,9,37,27
1242,9,37,28
1243,9,37,29
1244,9,37,30
1245,9,37,31
1246,9,37,32
1247,9,37,33
1248,9,37,34
1249,9,37,35
1250,9,37,36
1251,9,37,37
1252,9,37,38
1253,9,37,39
1254,9,37,40
1255,9,38,11
1256,9,38,12
